Date, Unread, Inbox Total, Deleted Total
2014-01-09 18:05:06, 289, 1477, 1267
2014-01-09 18:10:06, 290, 1478, 1267
2014-01-09 18:15:08, 290, 1478, 1267
2014-01-09 18:20:04, 290, 1478, 1267
2014-01-09 18:25:04, 290, 1478, 1267
2014-01-09 18:30:05, 290, 1478, 1267
2014-01-09 18:35:05, 290, 1478, 1267
2014-01-09 18:40:05, 290, 1478, 1267
2014-01-09 18:45:04, 290, 1478, 1267
2014-01-09 18:50:03, 290, 1478, 1267
2014-01-09 18:55:06, 290, 1478, 1267
2014-01-09 19:00:10, 290, 1478, 1267
2014-01-09 19:05:06, 291, 1479, 1267
2014-01-09 19:10:04, 291, 1479, 1267
2014-01-09 19:15:03, 291, 1479, 1267
2014-01-09 19:20:05, 291, 1479, 1267
2014-01-09 19:25:05, 292, 1480, 1267
2014-01-09 19:30:04, 293, 1481, 1267
2014-01-09 19:35:04, 293, 1481, 1267
2014-01-09 19:40:07, 293, 1481, 1267
2014-01-09 19:45:03, 293, 1481, 1269
2014-01-09 19:50:04, 293, 1481, 1269
2014-01-09 19:55:08, 293, 1481, 1269
2014-01-09 20:00:05, 293, 1481, 1269
2014-01-09 20:05:07, 293, 1481, 1269
2014-01-09 20:10:05, 293, 1481, 1269
2014-01-09 20:15:07, 293, 1481, 1269
2014-01-09 20:20:06, 293, 1481, 1269
2014-01-09 20:25:07, 293, 1481, 1269
2014-01-09 20:30:07, 293, 1481, 1269
2014-01-09 20:35:03, 293, 1481, 1269
2014-01-09 20:40:05, 293, 1481, 1269
2014-01-09 20:45:03, 294, 1482, 1269
2014-01-09 20:50:08, 294, 1482, 1269
2014-01-09 20:55:03, 291, 1480, 1271
2014-01-09 21:00:06, 291, 1480, 1271
2014-01-09 21:05:03, 288, 1478, 1273
2014-01-09 21:10:06, 288, 1478, 1273
2014-01-09 21:15:06, 288, 1478, 1273
2014-01-09 21:20:04, 288, 1478, 1273
2014-01-09 21:25:05, 289, 1479, 1273
2014-01-09 21:30:05, 289, 1479, 1273
2014-01-09 21:35:06, 289, 1479, 1273
2014-01-09 21:40:06, 289, 1479, 1273
2014-01-09 21:45:04, 289, 1479, 1273
2014-01-09 21:50:05, 289, 1479, 1273
2014-01-09 21:55:08, 289, 1479, 1273
2014-01-09 22:00:04, 289, 1479, 1273
2014-01-09 22:05:05, 289, 1479, 1273
2014-01-09 22:10:05, 289, 1479, 1273
2014-01-09 22:15:05, 289, 1479, 1273
2014-01-09 22:20:03, 289, 1479, 1273
2014-01-09 22:25:04, 289, 1479, 1273
2014-01-09 22:30:06, 289, 1479, 1273
2014-01-09 22:35:06, 289, 1479, 1273
2014-01-09 22:40:08, 289, 1479, 1273
2014-01-09 22:45:06, 289, 1479, 1273
2014-01-09 22:50:05, 289, 1479, 1273
2014-01-09 22:55:05, 289, 1479, 1273
2014-01-09 23:00:10, 289, 1479, 1273
2014-01-09 23:05:04, 290, 1480, 1273
2014-01-09 23:10:05, 290, 1480, 1273
2014-01-09 23:15:04, 291, 1481, 1273
2014-01-09 23:20:04, 291, 1481, 1273
2014-01-09 23:25:05, 292, 1482, 1273
2014-01-09 23:30:04, 292, 1482, 1273
2014-01-09 23:35:04, 292, 1482, 1273
2014-01-09 23:40:05, 292, 1482, 1273
2014-01-09 23:45:06, 292, 1482, 1273
2014-01-09 23:50:04, 292, 1482, 1273
2014-01-09 23:55:06, 292, 1482, 1273
2014-01-10 00:00:04, 293, 1483, 1273
2014-01-10 00:05:04, 294, 1484, 1273
2014-01-10 00:10:06, 294, 1484, 1273
2014-01-10 00:15:03, 294, 1484, 1273
2014-01-10 00:20:05, 294, 1484, 1273
2014-01-10 00:25:05, 294, 1484, 1273
2014-01-10 00:30:04, 294, 1484, 1273
2014-01-10 00:35:05, 294, 1484, 1273
2014-01-10 00:40:05, 294, 1484, 1273
2014-01-10 00:45:05, 294, 1484, 1273
2014-01-10 00:50:07, 294, 1484, 1273
2014-01-10 00:55:10, 294, 1484, 1273
2014-01-10 01:00:05, 294, 1484, 1273
2014-01-10 01:05:06, 294, 1484, 1273
2014-01-10 01:10:06, 295, 1485, 1273
2014-01-10 01:15:07, 295, 1485, 1273
2014-01-10 01:20:08, 295, 1485, 1273
2014-01-10 01:25:06, 295, 1485, 1273
2014-01-10 01:30:08, 295, 1485, 1273
2014-01-10 01:35:06, 295, 1485, 1273
2014-01-10 01:40:06, 295, 1485, 1273
2014-01-10 01:45:06, 295, 1485, 1273
2014-01-10 01:50:04, 295, 1485, 1273
2014-01-10 01:55:04, 295, 1485, 1273
2014-01-10 02:00:06, 295, 1485, 1273
2014-01-10 02:05:04, 295, 1485, 1273
2014-01-10 02:10:06, 295, 1485, 1273
2014-01-10 02:15:06, 295, 1485, 1273
2014-01-10 02:20:04, 295, 1485, 1273
2014-01-10 02:25:08, 295, 1485, 1273
2014-01-10 02:30:05, 293, 1485, 1273
2014-01-10 02:35:04, 293, 1485, 1273
2014-01-10 02:40:07, 293, 1485, 1273
2014-01-10 02:45:06, 293, 1485, 1273
2014-01-10 02:50:06, 293, 1485, 1273
2014-01-10 02:55:07, 293, 1485, 1273
